path	param	enable	low	high	control	group
/box_frames2	Thickness	1	0	0.2	s1	box_frames2
/box_frames2	Blendsmooth	1			s2	box_frames2
/box_frames2	Mirror1rotateaxis	1			s3	box_frames2
/helix3	Prerotatex	1			s1	helix3
/helix3	Prerotatey	1			s2	helix3
/helix3	Prerotatez	1			s3	helix3
/helix3	Radius	1			s4	helix3
/helix3	Preoffsetx	1			s5	helix3
/helix3	Preoffsety	1			s6	helix3
/helix3	Preoffsetz	1			s7	helix3
/helix3	Dualspread	1			s8	helix3
/helix3	Spinspeed	1			s9	helix3
/helix3	Thickness	1			s10	helix3
/helix3	Spread	1			s11	helix3
/helix3	Angleoffset	1			s12	helix3
/rings1	Spinspeed	1			s1	rings1
/rings1	Nudge1	1			b1	rings1
/rings1	Nudge2	1			b2	rings1
/rings1	Radius	1			s5	rings1
/rings1	Thickness	1			s6	rings1
/rings1	Blendsmooth	1			s7	rings1
/hallway6	Prerotatex	1			s1	hallway6
/hallway6	Prerotatey	1			s2	hallway6
/hallway6	Prerotatez	1			s3	hallway6
/hallway6	Pretranslatex	1			s5	hallway6
/hallway6	Pretranslatey	1			s6	hallway6
/hallway6	Pretranslatez	1			s7	hallway6
/hallway6	Mirrorrotateaxis	1			s4	hallway6
/hallway7	Prerotatex	1			s1	hallway7
/hallway7	Prerotatey	1			s2	hallway7
/hallway7	Prerotatez	1			s3	hallway7
/hallway7	Pretranslatex	1			s5	hallway7
/hallway7	Pretranslatey	1			s6	hallway7
/hallway7	Pretranslatez	1			s7	hallway7
/hallway7	Mirrorrotateaxis	1			s4	hallway7
/hallway11	Prerotatex	1			s1	hallway11
/hallway11	Prerotatey	1			s2	hallway11
/hallway11	Prerotatez	1			s3	hallway11
/hallway11	Pretranslatex	1			s5	hallway11
/hallway11	Pretranslatey	1			s6	hallway11
/hallway11	Pretranslatez	1			s7	hallway11
/hallway11	Mirrorrotateaxis	1			s4	hallway11
/mandelbulb3	Prerotatespeedz	1			s1	mandelbulb3
/mandelbulb3	Postrotatespeedx	1			s2	mandelbulb3
/mandelbulb3	Thetaspeed	1			s3	mandelbulb3
/mandelbulb3	Thetareverse	1			b3	mandelbulb3
/mandelbulb3	Mirror1rotateaxis	1			s5	mandelbulb3
/mandelbulb3	Mirror2rotateaxis	1			s6	mandelbulb3
/physarum_surface	Sensoroffsetdistance	1			s1	physarum_surface
/physarum_surface	Stepsize	1			s2	physarum_surface
/physarum_surface	Cross	1			s3	physarum_surface
/physarum_surface	Texspeed	1			s4	physarum_surface
/physarum_surface	Texspeedreverse	1			b4	physarum_surface
/physarum_surface	Waveheight	1			s5	physarum_surface
/physarum_surface	Radius1	1			s6	physarum_surface
